,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
549,36295,Смоленск,Суши,11.0,0.0,0.0,0.0,36295,0.204308961052448,36295,0.204308961052448
550,36892,Смоленск,Бургеры,72.0,3.0,2.0,0.03896103896103896,36892,0.692685240879655,36892,0.692685240879655
551,32990,Смоленск,Пицца,116.0,2.0,1.0,0.01680672268907563,32990,0.8021062766201791,32990,0.8021062766201791
552,36891,Смоленск,Бургеры,44.0,1.0,1.0,0.021739130434782608,36891,0.9496602904982859,36891,0.9496602904982859
553,27475,Смоленск,Рыба,14.0,0.0,0.0,0.0,27475,0.42869750084355496,27475,0.42869750084355496
554,37815,Смоленск,Пицца,11.0,0.0,0.0,0.0,37815,0.37449527950957395,37815,0.37449527950957395
555,36301,Смоленск,Суши,6.0,1.0,0.0,0.14285714285714285,36301,0.19379154359921802,36301,0.19379154359921802
556,36287,Смоленск,Пицца,58.0,0.0,0.0,0.0,36287,0.408729539252818,36287,0.408729539252818
557,36893,Смоленск,Бургеры,178.0,1.0,1.0,0.005555555555555556,36893,0.734961845446378,36893,0.734961845446378
558,27461,Смоленск,Суши,261.0,7.0,3.0,0.025830258302583026,27461,0.19357435312122098,27461,0.19357435312122098
559,36482,Смоленск,Бургеры,87.0,2.0,4.0,0.021505376344086023,36482,0.428060139529407,36482,0.428060139529407
560,35600,Смоленск,Суши,125.0,3.0,2.0,0.023076923076923078,35600,0.489017429295927,35600,0.489017429295927
561,27460,Смоленск,Суши,64.0,1.0,2.0,0.014925373134328358,27460,0.685589641332626,27460,0.685589641332626
562,27478,Смоленск,Рыба,7.0,0.0,1.0,0.0,27478,0.0193149936385453,27478,0.0193149936385453
563,35874,Сочи,Суши,107.0,1.0,1.0,0.009174311926605505,35874,0.20976208429783602,35874,0.20976208429783602
564,35188,Сочи,Пироги,185.0,3.0,2.0,0.015789473684210527,35188,0.0481627429835498,35188,0.0481627429835498
565,25550,Сочи,Суши,75.0,0.0,3.0,0.0,25550,0.590393291320652,25550,0.590393291320652
566,37179,Сочи,Бургеры,94.0,3.0,2.0,0.030303030303030304,37179,0.5832151644863189,37179,0.5832151644863189
567,35799,Сочи,Пицца,185.0,2.0,0.0,0.0106951871657754,35799,0.529184145852923,35799,0.529184145852923
568,35908,Сочи,Пицца,180.0,2.0,2.0,0.010869565217391304,35908,0.10546700656414,35908,0.10546700656414
569,27780,Сочи,Пицца,3.0,1.0,1.0,0.2,27780,0.182208274956793,27780,0.182208274956793
570,27437,Сочи,Пицца,53.0,5.0,7.0,0.07692307692307693,27437,0.336591597180814,27437,0.336591597180814
571,32727,Сочи,Суши,162.0,2.0,2.0,0.012048192771084338,32727,0.0331165720708668,32727,0.0331165720708668
572,37432,Сочи,Бургеры,9.0,0.0,1.0,0.0,37432,0.59166020154953,37432,0.59166020154953
